Unnamed: 0,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Precision,Recall,F1_Score,Accuracy,AUROC,Features,Classifier,Scenario,Vectorizer,N-Grama,scenario,classifier,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max
0.0,0.7972972972972973,0.7415730337078652,0.7195121951219512,0.8148148148148148,0.7564102564102565,0.7764705882352941,0.7415730337078652,0.8148148148148148,0.7764705882352941,0.7668711656441718,0.8151912074676303,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",Random Forest,User,,,,,,,,,,,,,,,,,,,,,
1.0,0.7808219178082192,0.7222222222222222,0.6951219512195121,0.8024691358024691,0.7354838709677419,0.7602339181286549,0.7222222222222222,0.8024691358024691,0.7602339181286549,0.7484662576687117,0.8075880758807588,"qtd_friends, qtd_reviews, qtd_photos, rating",Random Forest,User,,,,,,,,,,,,,,,,,,,,,
2.0,0.8,0.7204301075268817,0.6829268292682927,0.8271604938271605,0.736842105263158,0.7701149425287357,0.7204301075268817,0.8271604938271605,0.7701149425287357,0.754601226993865,0.8394308943089431,"qtd_friends, qtd_reviews, qtd_photos",Random Forest,User,,,,,,,,,,,,,,,,,,,,,
3.0,0.8115942028985508,0.723404255319149,0.6829268292682927,0.8395061728395061,0.7417218543046358,0.7771428571428571,0.723404255319149,0.8395061728395061,0.7771428571428571,0.7607361963190185,0.8613369467028004,"qtd_reviews, qtd_photos",Random Forest,User,,,,,,,,,,,,,,,,,,,,,
4.0,0.9215686274509804,0.6875,0.573170731707317,0.9506172839506172,0.7067669172932329,0.7979274611398963,0.6875,0.9506172839506172,0.7979274611398963,0.7607361963190185,0.8291930141523638,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",SVC,User,,,,,,,,,,,,,,,,,,,,,
5.0,0.9,0.672566371681416,0.5487804878048781,0.9382716049382716,0.6818181818181819,0.7835051546391752,0.672566371681416,0.9382716049382716,0.7835051546391752,0.7423312883435583,0.8381511592893707,"qtd_friends, qtd_reviews, qtd_photos, rating",SVC,User,,,,,,,,,,,,,,,,,,,,,
6.0,0.8846153846153846,0.6756756756756757,0.5609756097560976,0.925925925925926,0.6865671641791045,0.7812500000000001,0.6756756756756757,0.925925925925926,0.7812500000000001,0.7423312883435583,0.8474104185486299,"qtd_friends, qtd_reviews, qtd_photos",SVC,User,,,,,,,,,,,,,,,,,,,,,
7.0,0.8703703703703703,0.6788990825688074,0.573170731707317,0.9135802469135802,0.6911764705882353,0.7789473684210526,0.6788990825688074,0.9135802469135802,0.7789473684210526,0.7423312883435583,0.8372478169226136,"qtd_reviews, qtd_photos",SVC,User,,,,,,,,,,,,,,,,,,,,,
8.0,0.8936170212765957,0.6551724137931034,0.5121951219512195,0.9382716049382716,0.6511627906976745,0.7715736040609137,0.6551724137931034,0.9382716049382716,0.7715736040609137,0.7239263803680982,0.8129328515507377,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",Logistic Regression,User,,,,,,,,,,,,,,,,,,,,,
9.0,0.8979591836734694,0.6666666666666666,0.5365853658536586,0.9382716049382716,0.6717557251908397,0.7794871794871794,0.6666666666666666,0.9382716049382716,0.7794871794871794,0.7361963190184049,0.8227190605239386,"qtd_friends, qtd_reviews, qtd_photos, user_has_photo",Logistic Regression,User,,,,,,,,,,,,,,,,,,,,,
10.0,0.8979591836734694,0.6666666666666666,0.5365853658536586,0.9382716049382716,0.6717557251908397,0.7794871794871794,0.6666666666666666,0.9382716049382716,0.7794871794871794,0.7361963190184049,0.8218157181571816,"qtd_friends, qtd_reviews, user_has_photo",Logistic Regression,User,,,,,,,,,,,,,,,,,,,,,
11.0,0.8936170212765957,0.6551724137931034,0.5121951219512195,0.9382716049382716,0.6511627906976745,0.7715736040609137,0.6551724137931034,0.9382716049382716,0.7715736040609137,0.7239263803680982,0.821364046973803,"qtd_reviews, user_has_photo",Logistic Regression,User,,,,,,,,,,,,,,,,,,,,,
12.0,0.7878787878787878,0.6907216494845361,0.6341463414634146,0.8271604938271605,0.7027027027027027,0.7528089887640449,0.6907216494845361,0.8271604938271605,0.7528089887640449,0.7300613496932515,0.7841764528756399,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",KNN,User,,,,,,,,,,,,,,,,,,,,,
13.0,0.8333333333333334,0.7216494845360825,0.6707317073170732,0.8641975308641975,0.7432432432432432,0.7865168539325842,0.7216494845360825,0.8641975308641975,0.7865168539325842,0.7668711656441718,0.8034477566997893,"qtd_reviews, qtd_photos, rating, user_has_photo",KNN,User,,,,,,,,,,,,,,,,,,,,,
14.0,0.8461538461538461,0.7244897959183674,0.6707317073170732,0.8765432098765432,0.7482993197278912,0.793296089385475,0.7244897959183674,0.8765432098765432,0.793296089385475,0.7730061349693251,0.7978018669075579,"qtd_reviews, qtd_photos, rating",KNN,User,,,,,,,,,,,,,,,,,,,,,
15.0,0.8253968253968254,0.7,0.6341463414634146,0.8641975308641975,0.7172413793103449,0.7734806629834253,0.7,0.8641975308641975,0.7734806629834253,0.7484662576687117,0.8264829870520927,"qtd_reviews, qtd_photos",KNN,User,,,,,,,,,,,,,,,,,,,,,
