scenario,classifier,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max,ngram,vectorizer
BestUserMetaFeature,Random Forest,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, capital_count, word_count",0.8365699357020467,0.00036633405982047936,0.8151200286635615,0.867431028305267,0.6855201417457104,0.0021949169481638425,0.6563380281690141,0.7688266199649737,0.6070047014635975,0.006986151713846331,0.46824224519940916,0.6873156342182891,0.6411568614146763,0.0032509989806133784,0.5513043478260871,0.703525641025641,0.8998180196225178,0.0006116525418930099,0.8663492591417699,0.9351080019396609,N/A,N/A
BestUserMetaFeature,Random Forest,"qtd_friends, qtd_reviews, qtd_photos, rating, punctuation_count, capital_count, word_count",0.8359963564835395,0.00032201101432726337,0.816194912217843,0.864206377642422,0.6859861425330285,0.002197484348104977,0.6557120500782473,0.7689530685920578,0.6022766586929147,0.0060901231965967,0.46971935007385524,0.6769911504424779,0.6388198274361059,0.002822514287023901,0.5535248041775457,0.6921202274573518,0.8982716919075238,0.0006820690281666337,0.8637402195953265,0.9359883955734367,N/A,N/A
BestUserMetaFeature,Random Forest,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, capital_count, word_count",0.8344927001341809,0.0004240140166842175,0.8172697957721247,0.869939089931924,0.6833698093241553,0.003080063404849011,0.6336206896551724,0.7783687943262412,0.5993337777719681,0.005495018285661554,0.4711964549483013,0.6504424778761062,0.6360280054506341,0.0029032257509077975,0.5557491289198606,0.7074939564867043,0.8972854628559774,0.0007322662590038126,0.8621995307362187,0.9377159933984451,N/A,N/A
BestUserMetaFeature,Random Forest,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, word_count",0.8324146945924221,0.00045390821845059035,0.8118953780007165,0.8685059118595485,0.6759341827101226,0.002968936238514295,0.6437308868501529,0.772887323943662,0.5987481645120107,0.005494549033022067,0.46824224519940916,0.6484490398818316,0.6328925989146414,0.003186193781429149,0.54702329594478,0.7052208835341366,0.8945821460210898,0.0009887579536137531,0.8537540403779265,0.9415411639921799,N/A,N/A
BestUserMetaFeature,Random Forest,"qtd_friends, qtd_reviews, qtd_photos, word_count",0.8385759743506297,0.00043569980121904126,0.8133285560730921,0.8692225008957363,0.687178900734409,0.0019870577970733843,0.651702786377709,0.764406779661017,0.6149771462682404,0.007410819410102947,0.4667651403249631,0.6814159292035398,0.6467949606523711,0.003840422765958092,0.5481352992194275,0.7119179163378058,0.8968523507818844,0.0009395411136178984,0.8578066459937199,0.9428575620922065,N/A,N/A
BestUserMetaFeature,Random Forest,"qtd_reviews, qtd_photos, word_count",0.8258225887754232,0.0002966401473640407,0.8065209602293085,0.8538158366176998,0.6523047930791266,0.001670234494753755,0.6227709190672154,0.7237936772046589,0.6099562968675791,0.007887663981388137,0.4534711964549483,0.6696165191740413,0.6271157254238469,0.003135624713764235,0.5320623916811092,0.6807511737089201,0.8756694314167938,0.000892975234308877,0.833191608590965,0.9175811813764605,N/A,N/A
BestUserMetaFeature,SVC,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, capital_count, word_count",0.8118503088621942,0.0005906501119932162,0.7860981726979577,0.8487997133643855,0.5964537367232193,0.0027699449353519013,0.5581395348837209,0.6845151953690304,0.712687851574925,0.008043950928791403,0.5672082717872969,0.8053097345132744,0.6465907954705384,0.0025582358780461795,0.5626373626373626,0.6915204678362573,0.8658598467254347,0.0007467200722261783,0.8276060000922317,0.8943286579307395,N/A,N/A
BestUserMetaFeature,SVC,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, capital_count, word_count",0.8124236057569408,0.0005929898168725895,0.7857398781798638,0.8498745969186672,0.5975407134579825,0.002804693775002227,0.5574963609898108,0.6869565217391305,0.7126882872990767,0.008142982862039044,0.5657311669128509,0.8053097345132744,0.6472519918572235,0.00262934342356143,0.56158357771261,0.6934893928310168,0.8661106129826315,0.0007390050416958199,0.8273631931178371,0.8944257807204974,N/A,N/A
BestUserMetaFeature,SVC,"qtd_friends, qtd_reviews, qtd_photos, user_has_photo, capital_count, word_count",0.8124953673237453,0.0005934511447708194,0.7864564672160516,0.850591185954855,0.5974347960173665,0.0027981935242845117,0.5586107091172214,0.6873198847262247,0.7144612488725637,0.007753911613651399,0.5701624815361891,0.803834808259587,0.6480215829428937,0.0025432030786615833,0.5643274853801169,0.6958424507658644,0.8661589383774377,0.00074678213487796,0.8270882447885588,0.8944341654217715,N/A,N/A
BestUserMetaFeature,SVC,"qtd_friends, qtd_reviews, qtd_photos, user_has_photo, word_count",0.8122087060434737,0.0006058543434981257,0.7857398781798638,0.8502328914367611,0.5967645634597681,0.002819038509506559,0.556998556998557,0.6863309352517986,0.7147557983991495,0.007735653062898152,0.5701624815361891,0.8023598820058997,0.6477817671823237,0.0025796982390716575,0.5635036496350365,0.69533527696793,0.8661505817076133,0.0007410875267335031,0.8272363745110672,0.8941445438652633,N/A,N/A
