scenario,classifier,vectorizer,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max
en_equal,Random Forest,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.7866065855463731,6.588793992724521e-05,0.7791316286253647,0.8000686459584692,0.7477766613751878,6.400950147584149e-05,0.7409356725146199,0.7610513739545998,0.8650384603513326,6.269486560946061e-05,0.8544955387783116,0.8746996223824236,0.8021329568318336,5.271155752848435e-05,0.7946385830540929,0.8139274876217856,0.8842263771954816,4.228371003904398e-05,0.8783414985152822,0.8952349784095672
en_equal,Logistic Regression,TF-IDF,"qtd_friends, qtd_reviews, user_has_photo, word_count",0.8663758227190433,3.9040251359616876e-05,0.8595949193271541,0.8764372747554487,0.8971210722734909,6.073847703810817e-05,0.889665318131666,0.9083798882681564,0.8276927723944046,3.975153164699766e-05,0.8208032955715757,0.8372811534500515,0.8610018848150627,4.0980620852455415e-05,0.8539285714285714,0.8713826366559486,0.9429593525397749,1.68352907073305e-05,0.9376772494572845,0.9489537705328233
en_equal,KNN,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.737282967984484,1.088755595675211e-05,0.732452376866312,0.7410331216749614,0.7260248002990043,9.40132189576933e-06,0.7224047306176085,0.7300131061598951,0.7622026176176141,4.516413380504576e-05,0.7548918640576725,0.772399588053553,0.7436618072602295,1.4592203643753499e-05,0.7382910861171731,0.7476324970925402,0.8163303312451742,2.1743985123304635e-06,0.8142079467212158,0.8174531677159709
en_equal,SVC,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, word_count",0.6587836869348396,0.0005432452394636063,0.6267376008237515,0.690921571992449,0.610898238984114,0.0004053727822304646,0.5841493964928263,0.6390695347673837,0.8784243637437177,3.8853488810494294e-05,0.8689087165408373,0.8860281496738758,0.7204493650361894,0.00017729148397893716,0.7022587268993842,0.7394009549992765,0.7053887385028004,0.004930559131957012,0.5977770230295594,0.7779112920307778
en_equal,XGBoost,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.8447172746211262,3.308793985765504e-05,0.8377960865087538,0.8522395743950575,0.8279027863099315,4.176977213311724e-05,0.8196774193548387,0.8346379647749511,0.8703920441841074,3.89034015925085e-05,0.861311362856162,0.878475798146241,0.8486062618291268,3.0375862025720797e-05,0.8415227234613449,0.8559959859508279,0.9273027555805923,2.81254146147045e-05,0.9200983457915431,0.9346727718807673
en_equal,Random Forest,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.7740439568609757,3.6049874838996154e-05,0.7695211944396774,0.7844516904067274,0.721667770870114,2.7625783706401804e-05,0.7164424924512764,0.7302028341205891,0.8922231089139376,5.322549377314297e-05,0.8843514070006864,0.90216271884655,0.7979240742666548,2.8548043585528597e-05,0.793606884893192,0.8071253071253072,0.881672386010179,3.134630326865088e-05,0.8766758885746593,0.8908581652172909
en_equal,Logistic Regression,BoW,"qtd_friends, qtd_reviews, user_has_photo, word_count",0.862634500155561,6.667883094370409e-05,0.8561620322691383,0.8759224300669298,0.8595930021564608,7.856527047162901e-05,0.8508623605005072,0.8729564032697548,0.8668916303291919,5.8287456949888565e-05,0.861015785861359,0.8798489529694473,0.8632225571647263,6.395249848511313e-05,0.8572402044293015,0.876389126346384,0.9378712393903404,2.195085643795299e-05,0.9339659317178266,0.9450679167370561
en_equal,KNN,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.7011739095163552,1.3594646767687029e-05,0.6962416337738115,0.7060236828556719,0.6444446160690727,1.2636735879805654e-05,0.6405405405405405,0.6483679525222552,0.8976460573280359,2.9650504795540833e-05,0.890528483184626,0.9049090284929626,0.7502455436042318,6.657902892710261e-06,0.7465635738831616,0.753773178094006,0.7529622137072677,7.623054912864187e-06,0.7490561327690864,0.7559299177402979
en_equal,SVC,BoW,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, word_count",0.5591749842156124,0.000187023525712744,0.5381843143984898,0.5754247468680281,0.5322012978544525,6.030628566144058e-05,0.5204549623922217,0.5416113744075829,0.9802293036611257,2.4237419299411505e-05,0.9735758407687028,0.9866163349347975,0.6898338008006368,5.120214093459972e-05,0.678302450687388,0.6978505129457744,0.7635728884011156,0.0031540413267997294,0.7037742548555082,0.8224537084486954
en_equal,XGBoost,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.8085053179114402,1.4112797044591753e-05,0.8024373498111912,0.8117384588982324,0.7832548005848201,3.073714386265593e-05,0.7766959798994975,0.7896596017983302,0.8531618491975361,4.692848505479469e-05,0.8438572409059711,0.8599382080329557,0.8166897911891837,1.2160204117933705e-05,0.8112186321141546,0.8199672667757774,0.8896015160013399,1.0798485329554567e-05,0.8849223310776213,0.8929876979181908
en_equal,Random Forest,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8027732213129324,1.3477668938294092e-05,0.7978029522828699,0.8074480864939076,0.7684027495950976,1.6115688676858993e-05,0.7642400243679561,0.7745098039215687,0.8668221950638524,1.0335682286914261e-05,0.861311362856162,0.8695502917953999,0.8146474839860606,1.0609489853301452e-05,0.8098773402194963,0.8183878277759793,0.8800265325190255,3.892053924436586e-05,0.8734651736377372,0.8883507086426053
