scenario,classifier,vectorizer,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max
pt_equal,Random Forest,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.7791535262472269,0.00012522635190628594,0.7651403249630724,0.7955719557195572,0.7455527160085488,0.00010681631148069488,0.734640522875817,0.7597402597402597,0.8476551504773358,0.00017730424956123494,0.8301329394387001,0.8641063515509602,0.7933058859848396,0.00011098304628611572,0.7794729542302359,0.8085694540428474,0.8548958972941151,4.3341190424568736e-05,0.8467225508313898,0.8623503832193915
pt_equal,Logistic Regression,TF-IDF,"qtd_friends, qtd_reviews, user_has_photo, word_count",0.7717747605836472,4.648554331214263e-05,0.7608856088560886,0.777859778597786,0.7523315651027581,0.0001301022688992064,0.7356475300400535,0.765379113018598,0.8107432146856468,0.00014283388519049337,0.7902511078286558,0.8215339233038348,0.7803378217631953,3.225790486135693e-05,0.7727910238429173,0.7872791519434629,0.8332366167310699,8.707560992062113e-05,0.8227125571343294,0.8464290935114296
pt_equal,KNN,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, capital_count, word_count",0.8074995503278519,3.210222979295117e-05,0.7977859778597786,0.8125461254612546,0.7891335290424858,4.69837020873352e-05,0.7806191117092867,0.7954866008462623,0.8393912062151692,0.000155201671928668,0.8244837758112095,0.8567208271787297,0.8134283485657938,3.6404695809358027e-05,0.8031609195402298,0.8185714285714286,0.8621812160528165,5.5376922558841685e-06,0.8585764810867302,0.8642011215539667
pt_equal,XGBoost,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.8457330201071581,3.1035203277165896e-05,0.8405904059040591,0.8538745387453874,0.8187206548479475,1.0563901503613247e-05,0.815114709851552,0.8224043715846995,0.8880960161740804,0.00011633368946345685,0.8774002954209749,0.9041297935103245,0.8519790342894046,3.652889755681755e-05,0.8463726884779516,0.8609550561797753,0.9132513825665711,4.179510826696559e-06,0.9104020426748233,0.9161231007873536
pt_equal,SVC,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos, rating, punctuation_count, capital_count, word_count",0.640538625474881,9.472623707356362e-05,0.6273062730627307,0.6509225092250922,0.5830651589568547,4.3115490508715144e-05,0.5745047372954349,0.5903083700440529,0.9870097558637576,3.680619168397168e-06,0.9837758112094396,0.9882005899705014,0.7330614036712151,3.152864407299356e-05,0.7253942359978248,0.7391064533921676,0.8722535021103435,2.0041585199640496e-05,0.8684298244467393,0.8798664941199025
pt_equal,Random Forest,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.7828438901818856,0.00013841332358336008,0.7673559822747416,0.7948339483394834,0.7427013615579118,0.00012436725338524154,0.7296954314720813,0.7541401273885351,0.8656631939451771,0.00014813246035985905,0.8493353028064993,0.8788774002954209,0.7994592560918249,0.00011339528854130277,0.7849829351535836,0.8106267029972751,0.8559324731443478,5.2205327101415736e-05,0.8452050819389565,0.8639244367176029
pt_equal,Logistic Regression,BoW,"qtd_friends, qtd_reviews, user_has_photo, word_count",0.7357541138188339,0.00011643633239900839,0.7180811808118082,0.744649446494465,0.7007977935459938,0.00012726435655162786,0.6823238566131026,0.7097591888466414,0.8231417454238071,0.00017614684654443423,0.8050221565731167,0.8392330383480826,0.75699411988346,8.822365825630152e-05,0.7429340511440107,0.7646258503401361,0.8105196341325345,6.701521230441517e-05,0.7961355624980937,0.8166557211086362
pt_equal,KNN,BoW,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, capital_count, word_count",0.8110430758665046,2.5475723681858108e-05,0.8051660516605166,0.8168389955686853,0.7924911203882237,7.470435684573293e-05,0.781718963165075,0.8042553191489362,0.8429288506032601,1.3720227398263736e-05,0.8375184638109305,0.8463810930576071,0.8168997660253062,1.3977779815824767e-05,0.8127659574468086,0.8205499276410998,0.8611509781547024,1.401392903853167e-05,0.8554321729999173,0.8644407698374312
pt_equal,XGBoost,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.8610869529670186,2.9366875045271705e-05,0.8523985239852399,0.8664206642066421,0.8173638305990295,3.799652712287661e-05,0.8085381630012937,0.8247694334650857,0.9300261870215204,4.980635398925029e-05,0.9231905465288035,0.9409158050221565,0.870046385441418,2.5019563109982633e-05,0.8620689655172413,0.8756013745704467,0.9186377417785531,1.1245025431522055e-05,0.9129161710304441,0.9211513574985948
pt_equal,SVC,BoW,"qtd_friends, qtd_reviews, qtd_photos, rating, punctuation_count, capital_count, word_count",0.7919992151177052,0.00046993822396982016,0.7564575645756457,0.8154981549815498,0.737099810099824,0.0003440275459864842,0.7164179104477612,0.7672090112640801,0.9081885639839131,0.001186397061349984,0.8495575221238938,0.9321533923303835,0.8135282955599166,0.0004348831376199426,0.7773279352226721,0.8306233062330624,0.8621091568035485,0.001457420388081009,0.7971137632187814,0.8876550633325053
pt_equal,Random Forest,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8197515629513754,2.644556337693039e-05,0.8125461254612546,0.825830258302583,0.7835814038637017,2.3052290174416375e-05,0.777490297542044,0.7888283378746594,0.8836825662409641,0.00033185589315502416,0.8539823008849557,0.8995568685376661,0.8305217098804336,4.445121953030183e-05,0.8201133144475921,0.8376891334250344,0.886082335349642,2.5473257377579967e-05,0.8774166350766657,0.8900853147889135
