scenario,classifier,vectorizer,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max
pt_non_equal,Random Forest,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.8094149841026057,3.7553597483977696e-05,0.8001432664756447,0.8151200286635615,0.7757970099663473,0.0013803041285470464,0.7205882352941176,0.8084291187739464,0.30233373855679446,8.843934134033936e-05,0.2890855457227139,0.31166912850812406,0.43506115545698637,0.00023125291735391133,0.41263157894736846,0.4498933901918976,0.8687273955987104,1.8093670726112987e-05,0.8626302947641732,0.8725067885678565
pt_non_equal,Logistic Regression,TF-IDF,"qtd_friends, qtd_reviews, user_has_photo, word_count",0.8200902358070712,0.00012932289719894423,0.8076647564469914,0.8330945558739254,0.6823965364498554,0.0010990234834973671,0.6542239685658153,0.7268722466960352,0.4842028208781584,0.001129497065181498,0.4410029498525074,0.532448377581121,0.5661095067463295,0.0009579267386598553,0.5268722466960353,0.6077441077441078,0.8753182362046281,3.937552357838236e-05,0.8666378326106187,0.8828251971452887
pt_non_equal,KNN,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.8477467997318439,2.958632879844549e-06,0.8462916517377285,0.8502328914367611,0.6803188547651897,4.990634991015201e-05,0.6741258741258741,0.6905829596412556,0.7032731598279762,0.00014144650304284277,0.6824224519940916,0.7109144542772862,0.6915122470777197,1.404809180576106e-05,0.6864784546805349,0.6966618287373004,0.912967441994717,2.4909200644353242e-05,0.9047927651207607,0.9170326821681161
pt_non_equal,SVC,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, word_count",0.6330913989809652,0.0009286286104584029,0.5841690544412608,0.6624865639555715,0.3862599480595642,0.0009245256787250676,0.33379215416379904,0.40905971173644473,0.8733689755689469,0.00818473676067263,0.7153392330383481,0.9306784660766961,0.5354121707549266,0.0020373226670413517,0.45518535898639134,0.5595667870036102,0.7742304227252677,0.007220075194268916,0.6371796535528002,0.8457745996654504
pt_non_equal,XGBoost,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.8558422795744406,2.3441038331826867e-05,0.8498745969186672,0.8621060171919771,0.7129782647224755,0.00010206397109482954,0.6954545454545454,0.7216338880484114,0.679646017699115,0.0004198412044727869,0.6514032496307238,0.7035398230088495,0.6957818541078628,0.00016141358029099135,0.6821345707656613,0.712471994025392,0.9220453945129947,2.5067324912990314e-05,0.9132924066747813,0.9259445715347776
pt_non_equal,Random Forest,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.8181553427461786,4.7458096619222855e-05,0.8079541383016839,0.8262893982808023,0.7498132446558281,0.0014861987698976302,0.6963788300835655,0.7951070336391437,0.37761554315194135,0.00011354913241958622,0.36336779911373707,0.387905604719764,0.502020277721384,0.00019875569733830326,0.4826254826254827,0.5174129353233831,0.8770469040683941,1.0467789273411729e-05,0.871938011903481,0.880537252702171
pt_non_equal,Logistic Regression,BoW,"qtd_friends, qtd_reviews, user_has_photo, word_count",0.7976639248751873,8.674801626493169e-05,0.7903977069150842,0.8090974212034384,0.6116694084709381,0.0007857841724810834,0.5867924528301887,0.6452905811623246,0.45674522773122794,0.00021044023945009354,0.44165435745937964,0.4749262536873156,0.5228957989395028,0.00035205583297648823,0.5067567567567569,0.5471537807986406,0.8297042833345394,6.029214586725328e-05,0.8212241943350165,0.8417831118850869
pt_non_equal,KNN,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.8407971950364402,3.4947814098203004e-05,0.8316618911174785,0.8477248298101039,0.6321035132707161,0.00014396931316501001,0.6150442477876106,0.6485849056603774,0.824025829727716,0.00027463281697237747,0.8124076809453471,0.8525073746312685,0.7152872135635827,7.646404911753749e-05,0.7029077117572692,0.7256748273697428,0.8917773901715332,4.886695498458381e-05,0.8850426012697232,0.9007097649628488
pt_non_equal,SVC,BoW,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, word_count",0.8240313215113254,2.624053195317814e-05,0.8187029738445002,0.8312432819777857,0.6176860806537239,0.00016788232218714223,0.6043956043956044,0.6380697050938338,0.7230593935591255,0.00017250437220113734,0.7031019202363368,0.7370753323485968,0.6660611088854612,2.9944563867493214e-05,0.6617647058823528,0.6743243243243243,0.8745924906359809,3.43027895567267e-05,0.8651020348272542,0.8795838113777602
pt_non_equal,XGBoost,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.8527612803741867,5.334034440859804e-05,0.8459333572196346,0.8649713467048711,0.7004276773240404,0.00015566443514164377,0.6846038863976084,0.7171717171717171,0.6870228275883103,0.0008180279359442924,0.6602658788774003,0.7330383480825958,0.6934926195907792,0.0003471777767402042,0.6793313069908815,0.725018234865062,0.9211883092357473,4.698254171536074e-05,0.9099776547711047,0.928120717899772
pt_non_equal,Random Forest,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8400799900211384,5.109128950301923e-05,0.8298101039054102,0.8477793696275072,0.6945391527109583,0.00035649628159836337,0.6694630872483222,0.7177280550774526,0.609092255874651,0.000148891598671519,0.5893648449039882,0.621861152141802,0.6489824516836726,0.000207892600213502,0.6268656716417911,0.6624305003971406,0.8977741452179391,2.0756303067692445e-05,0.8905792990110245,0.9032311629451639
pt_non_equal,Logistic Regression,Word2Vec,"qtd_friends, qtd_reviews, user_has_photo, word_count",0.8142150270158173,7.275041870065133e-05,0.8040830945558739,0.8252148997134671,0.6648515093134655,0.0005400651023487521,0.6378947368421053,0.6889848812095032,0.4726840172023895,0.0007399514480223002,0.4469026548672566,0.5176991150442478,0.5523248764697783,0.0005873688700845295,0.5255854293148309,0.5899159663865546,0.8684948994571877,1.82338401300802e-05,0.8628165050049679,0.8726498159481808
pt_non_equal,KNN,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8628648007974877,1.4360704693829848e-05,0.8567335243553008,0.8667144392690792,0.7131256659338016,7.800703782618835e-05,0.6997126436781609,0.7232796486090776,0.7277804647433803,0.0001687575613238836,0.7119645494830132,0.7448377581120944,0.7203165468048447,6.606675290561749e-05,0.7088791848617176,0.7281903388608508,0.9247836080293796,1.660482769259971e-05,0.9188448257309713,0.9291583576606126
pt_non_equal,SVC,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, word_count",0.5429964458005111,0.07154811662391974,0.24650662844858473,0.7489255014326648,0.10397607756596865,0.016575791713523472,0.0,0.24528985507246376,0.4002945495265857,0.29896951045406805,0.0,1.0,0.15813119564219408,0.045831454965451435,0.0,0.39394821064882163,0.5672572621045787,0.042300595882119034,0.27633727112130674,0.7751439723081266
pt_non_equal,XGBoost,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8499666344646475,6.447572518332261e-05,0.8423504120386958,0.8624641833810889,0.7056132893113783,0.00019462346850795785,0.6889952153110048,0.7275541795665634,0.6548354487740902,0.0011350666353971638,0.620384047267356,0.6932153392330384,0.6790098760603385,0.0004923366621439672,0.660377358490566,0.7099697885196373,0.91574245987703,1.4533705200661846e-05,0.9090546389058524,0.9181569422001937
