,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Precision,Recall,F1_Score,Accuracy,AUROC,Features,Classifier,Dataset,Technique,N-Grama,Scenario
0,0.8391959798994975,0.8082191780821918,0.7990430622009569,0.84688995215311,0.8186274509803921,0.8271028037383177,0.8082191780821918,0.84688995215311,0.8271028037383177,0.8229665071770335,0.9045237059591126,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",Random Forest,User,,,
1,0.8512820512820513,0.8071748878923767,0.7942583732057417,0.861244019138756,0.8217821782178217,0.8333333333333334,0.8071748878923767,0.861244019138756,0.8333333333333334,0.8277511961722488,0.9023946338224857,"qtd_friends, qtd_reviews, qtd_photos, rating",Random Forest,User,,,
2,0.8670212765957447,0.8,0.7799043062200957,0.8803827751196173,0.8211586901763224,0.8382687927107063,0.8,0.8803827751196173,0.8382687927107063,0.8301435406698564,0.8974382454614135,"qtd_friends, qtd_reviews, qtd_photos",Random Forest,User,,,
3,0.8494623655913979,0.7801724137931034,0.7559808612440191,0.8660287081339713,0.8,0.8208616780045351,0.7801724137931034,0.8660287081339713,0.8208616780045351,0.8110047846889952,0.8786886747098281,"qtd_reviews, qtd_photos",Random Forest,User,,,
4,0.8758169934640523,0.7169811320754716,0.6411483253588517,0.9090909090909091,0.7403314917127072,0.8016877637130801,0.7169811320754716,0.9090909090909091,0.8016877637130801,0.7751196172248804,0.8710652228657769,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",SVC,User,,,
5,0.8947368421052632,0.7255639097744361,0.6507177033492823,0.9234449760765551,0.7534626038781164,0.8126315789473684,0.7255639097744361,0.9234449760765551,0.8126315789473684,0.7870813397129187,0.8614843982509558,"qtd_reviews, qtd_photos, rating, user_has_photo",SVC,User,,,
6,0.8961038961038961,0.7310606060606061,0.6602870813397129,0.9234449760765551,0.7603305785123966,0.8160676532769556,0.7310606060606061,0.9234449760765551,0.8160676532769556,0.7918660287081339,0.85840525628992,"qtd_reviews, qtd_photos, user_has_photo",SVC,User,,,
7,0.8765432098765432,0.73828125,0.6794258373205742,0.9043062200956937,0.765498652291105,0.8129032258064516,0.73828125,0.9043062200956937,0.8129032258064516,0.7918660287081339,0.8738925390902222,"qtd_reviews, qtd_photos",SVC,User,,,
8,0.9347826086956522,0.7142857142857143,0.6172248803827751,0.9569377990430622,0.7435158501440923,0.8179959100204499,0.7142857142857143,0.9569377990430622,0.8179959100204499,0.7870813397129187,0.8478972550994712,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",Logistic Regression,User,,,
9,0.927007299270073,0.708185053380783,0.6076555023923444,0.9521531100478469,0.7341040462427746,0.8122448979591836,0.708185053380783,0.9521531100478469,0.8122448979591836,0.7799043062200957,0.8501980266019551,"qtd_friends, qtd_reviews, qtd_photos, user_has_photo",Logistic Regression,User,,,
10,0.927007299270073,0.708185053380783,0.6076555023923444,0.9521531100478469,0.7341040462427746,0.8122448979591836,0.708185053380783,0.9521531100478469,0.8122448979591836,0.7799043062200957,0.8478285753531284,"qtd_reviews, qtd_photos, user_has_photo",Logistic Regression,User,,,
11,0.9398496240601504,0.7052631578947368,0.5980861244019139,0.9617224880382775,0.7309941520467835,0.8137651821862347,0.7052631578947368,0.9617224880382775,0.8137651821862347,0.7799043062200957,0.8735720336072892,"qtd_reviews, qtd_photos",Logistic Regression,User,,,
12,0.8275862068965517,0.7336065573770492,0.6889952153110048,0.8564593301435407,0.7519582245430809,0.7902869757174392,0.7336065573770492,0.8564593301435407,0.7902869757174392,0.7727272727272727,0.8509649504361164,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",KNN,User,,,
13,0.8555555555555555,0.7689075630252101,0.7368421052631579,0.8755980861244019,0.7917737789203084,0.818791946308725,0.7689075630252101,0.8755980861244019,0.818791946308725,0.80622009569378,0.8819166227879397,"qtd_friends, qtd_reviews, qtd_photos, user_has_photo",KNN,User,,,
14,0.8404255319148937,0.7782608695652173,0.7559808612440191,0.8564593301435407,0.7959697732997482,0.8154897494305238,0.7782608695652173,0.8564593301435407,0.8154897494305238,0.80622009569378,0.8792610059293515,"qtd_friends, qtd_reviews, qtd_photos",KNN,User,,,
15,0.856353591160221,0.7721518987341772,0.7416267942583732,0.8755980861244019,0.7948717948717949,0.8206278026905829,0.7721518987341772,0.8755980861244019,0.8206278026905829,0.8086124401913876,0.8515945147775921,"qtd_reviews, qtd_photos",KNN,User,,,
16,0.8852459016393442,0.8,0.7751196172248804,0.8995215311004785,0.8265306122448981,0.8468468468468469,0.8,0.8995215311004785,0.8468468468468469,0.8373205741626795,0.8942217440076922,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",XGBoost,User,,,
17,0.8944444444444445,0.7983193277310925,0.7703349282296651,0.9090909090909091,0.8277634961439588,0.8501118568232663,0.7983193277310925,0.9090909090909091,0.8501118568232663,0.8397129186602871,0.8967400013735949,"qtd_friends, qtd_reviews, qtd_photos, rating",XGBoost,User,,,
18,0.8971428571428571,0.7860082304526749,0.7511961722488039,0.9138755980861244,0.8177083333333333,0.8451327433628318,0.7860082304526749,0.9138755980861244,0.8451327433628318,0.8325358851674641,0.8940843845150066,"qtd_friends, qtd_reviews, qtd_photos",XGBoost,User,,,
19,0.8791208791208791,0.7923728813559322,0.7655502392344498,0.8947368421052632,0.8184143222506395,0.8404494382022472,0.7923728813559322,0.8947368421052632,0.8404494382022472,0.8301435406698564,0.876433689704906,"qtd_reviews, qtd_photos",XGBoost,User,,,
